,hp,chp,boiler,pv,supply_config,hr_mode,T_dhw_sp,hwt_volume,costs,co2
263,Air_60kW,100000.0,0.0,75000,3-runner,off,65,15000,3548863.0,427.3
264,Air_60kW,100000.0,400000.0,25000,2-runner,on,60,10000,3167731.0,388.4
265,Air_60kW,100000.0,400000.0,25000,2-runner,off,55,10000,3159403.0,262.6
266,Air_60kW,150000.0,300000.0,75000,3-runner,on,55,15000,3705533.0,255.4
267,Air_60kW,150000.0,300000.0,75000,3-runner,off,55,15000,3704350.0,267.1
268,Air_60kW,150000.0,400000.0,50000,3-runner,off,60,10000,3693492.0,352.7
269,Air_40kW,0.0,400000.0,75000,3-runner,off,55,10000,3410307.0,209.6
270,Air_40kW,50000.0,400000.0,50000,3-runner,on,65,15000,3482663.0,278.2
271,Air_40kW,100000.0,0.0,50000,2-runner,on,65,15000,3109642.0,383.7
272,Air_40kW,100000.0,0.0,50000,3-runner,off,60,20000,3497019.0,231.8
273,Air_40kW,100000.0,400000.0,50000,3-runner,on,60,20000,3579961.0,226.4
274,Air_40kW,100000.0,400000.0,75000,2-runner,on,60,15000,3216119.0,276.4
275,Air_40kW,100000.0,400000.0,75000,3-runner,off,65,20000,3612246.0,400.4
276,Air_40kW,150000.0,300000.0,50000,2-runner,on,60,10000,3271905.0,431.5
277,Air_40kW,150000.0,300000.0,50000,2-runner,off,65,15000,3257745.0,496.2
278,Air_40kW,150000.0,300000.0,75000,2-runner,off,55,10000,3289101.0,231.1
279,Air_40kW,150000.0,400000.0,25000,3-runner,off,65,15000,3645278.0,517.3
280,Air_30kW,100000.0,0.0,75000,2-runner,off,55,10000,3122480.0,238.3
281,Air_60kW,50000.0,0.0,50000,2-runner,off,55,15000,3012622.0,263.2
282,Air_60kW,150000.0,300000.0,50000,2-runner,off,60,20000,3271743.0,265.2
283,Air_30kW,100000.0,300000.0,75000,3-runner,off,65,20000,3585253.0,407.3
284,Air_40kW,0.0,300000.0,75000,2-runner,off,65,20000,2990627.0,197.7
285,Air_40kW,100000.0,400000.0,75000,2-runner,off,65,10000,3212332.0,383.9
286,Air_30kW,50000.0,200000.0,75000,3-runner,on,55,20000,3463127.0,208.2
287,Air_60kW,150000.0,200000.0,50000,2-runner,on,55,10000,3252524.0,241.3
288,Air_60kW,150000.0,200000.0,75000,2-runner,on,65,15000,3301502.0,528.0
